TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn
60000,-137.89745568401503,25,-269.70573152554863,25,0.0,33.54566692794542,0,-203.41572887226798,-137.89745568401503,0.0,33.54566692794542,-203.41572887226795,-269.70573152554863,0,-203.41572887226798,-203.41572887226795
70000,-70.40098950640612,25,-208.2133434132598,25,0.0,34.572079941921814,1,-131.91996903493225,-70.40098950640612,0.0,34.572079941921814,-131.91996903493228,-208.2133434132598,1,-131.91996903493225,-131.91996903493228
80000,60.348135771938274,25,-165.67716012216854,25,0.0,49.355509045351624,2,-32.44663624537463,60.348135771938274,0.0,49.355509045351624,-32.44663624537463,-165.67716012216854,2,-32.44663624537463,-32.44663624537463
90000,240.17545838845336,25,-24.13240626393724,25,0.0,62.410277923408216,3,59.26617088211804,240.17545838845336,0.0,62.410277923408216,59.26617088211804,-24.13240626393724,3,59.26617088211804,59.26617088211804
100000,317.3041144553572,25,56.37523807523757,25,0.0,82.06617284539281,4,171.23705328266428,317.3041144553572,0.0,82.06617284539281,171.23705328266428,56.37523807523757,4,171.23705328266428,171.23705328266428
110000,375.0411886412259,25,88.75279835980473,25,0.0,81.03191337641415,5,254.4852867978248,375.0411886412259,0.0,81.03191337641415,254.48528679782487,88.75279835980473,5,254.4852867978248,254.48528679782487
120000,439.4106009699305,25,207.81562809140158,25,0.0,60.171744311704614,6,312.27152146688576,439.4106009699305,0.0,60.171744311704614,312.2715214668857,207.81562809140158,6,312.27152146688576,312.2715214668857
130000,470.9349987165353,25,152.6891118604544,25,0.0,74.44857405529986,7,313.17948094374253,470.9349987165353,0.0,74.44857405529986,313.1794809437424,152.6891118604544,7,313.17948094374253,313.1794809437424
140000,586.4613280656945,25,-244.00188128783432,25,0.0,164.56907614361685,8,342.3376027569621,586.4613280656945,0.0,164.56907614361685,342.33760275696216,-244.00188128783432,8,342.3376027569621,342.33760275696216
150000,590.8475651759061,25,215.71585573855307,25,0.0,100.55492690925928,9,405.6395920676132,590.8475651759061,0.0,100.55492690925928,405.6395920676129,215.71585573855307,9,405.6395920676132,405.6395920676129
