MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn
-147.8809130852479,55.71433631124011,-147.8809130852479,-259.4999401761562,0.0,-259.4999401761562,0,84.78434640683172,25,0,84.78434640683172,0.0,25,60000,-147.8809130852479,55.71433631124011,-147.8809130852479
-112.80895247709222,33.199095863909875,-112.80895247709215,-232.91493979074068,0.0,-232.91493979074068,1,74.81424202131439,25,1,74.81424202131439,0.0,25,70000,-112.80895247709222,33.199095863909875,-112.80895247709215
117.27752076538846,601.8270860674359,117.27752076538835,-159.11468657144826,0.0,-159.11468657144826,2,225.99827006106003,25,2,225.99827006106003,0.0,25,80000,117.27752076538846,601.8270860674359,117.27752076538835
105.27744383966079,710.2118034448539,105.2774438396608,-130.10767006320094,0.0,-130.10767006320094,3,200.74125995096878,25,3,200.74125995096878,0.0,25,90000,105.27744383966079,710.2118034448539,105.2774438396608
310.88135461440476,1312.0456687892545,310.88135461440453,-42.206369165636545,0.0,-42.206369165636545,4,318.40974811819746,25,4,318.40974811819746,0.0,25,100000,310.88135461440476,1312.0456687892545,310.88135461440453
1022.3890991073822,2177.1810972255025,1022.3890991073821,33.61845144336086,0.0,33.61845144336086,5,657.0486706510504,25,5,657.0486706510504,0.0,25,110000,1022.3890991073822,2177.1810972255025,1022.3890991073821
1714.1108947190112,2449.9688066014364,1714.1108947190112,148.36778692054838,0.0,148.36778692054838,6,622.9938128614779,25,6,622.9938128614779,0.0,25,120000,1714.1108947190112,2449.9688066014364,1714.1108947190112
1981.9117202718369,2787.733393948936,1981.9117202718369,186.07093198252883,0.0,186.07093198252883,7,722.0902172362107,25,7,722.0902172362107,0.0,25,130000,1981.9117202718369,2787.733393948936,1981.9117202718369
2612.199848176629,3224.8894167704507,2612.199848176629,1100.671679677576,0.0,1100.671679677576,8,462.26265241015585,25,8,462.26265241015585,0.0,25,140000,2612.199848176629,3224.8894167704507,2612.199848176629
2399.772994607379,3184.782701932823,2399.7729946073787,369.4992671962677,0.0,369.4992671962677,9,761.5190808770991,25,9,761.5190808770991,0.0,25,150000,2399.772994607379,3184.782701932823,2399.7729946073787
3303.25380776744,3987.106839652166,3303.25380776744,2904.1067719072703,0.0,2904.1067719072703,10,309.17643129839723,25,10,309.17643129839723,0.0,25,160000,3303.25380776744,3987.106839652166,3303.25380776744
3283.9732317483486,3914.2663511051546,3283.9732317483486,-167.7671415378651,0.0,-167.7671415378651,11,759.0561554577197,25,11,759.0561554577197,0.0,25,170000,3283.9732317483486,3914.2663511051546,3283.9732317483486
3756.469527457052,4319.853959962774,3756.4695274570527,3110.0019116138196,0.0,3110.0019116138196,12,312.26045044044645,25,12,312.26045044044645,0.0,25,180000,3756.469527457052,4319.853959962774,3756.4695274570527
3678.8008458068525,4311.839225010235,3678.8008458068507,3159.93269534036,0.0,3159.93269534036,13,276.21547806762754,25,13,276.21547806762754,0.0,25,190000,3678.8008458068525,4311.839225010235,3678.8008458068507
