TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn
60000,-277.0126444831497,-238.92873052392616,-277.01264448314987,-314.5927858819446,25,-314.5927858819446,25,15.757281283778168,0,-277.01264448314987,0,-277.0126444831497,0.0,-238.92873052392616,0.0,15.757281283778168
70000,-190.1530978945733,-123.71629411136325,-190.1530978945733,-272.8280609261159,25,-272.8280609261159,25,40.23337671172714,1,-190.1530978945733,1,-190.1530978945733,0.0,-123.71629411136325,0.0,40.23337671172714
80000,-172.46917306290314,-78.25081999549417,-172.46917306290317,-246.8117792662237,25,-246.8117792662237,25,46.18156212185756,2,-172.46917306290317,2,-172.46917306290314,0.0,-78.25081999549417,0.0,46.18156212185756
90000,3.966352701353803,1000.1030909886408,3.966352701353826,-233.56358482327522,25,-233.56358482327522,25,267.54997304582645,3,3.966352701353826,3,3.966352701353803,0.0,1000.1030909886408,0.0,267.54997304582645
100000,100.51377907807957,873.2758989655786,100.51377907807964,-294.15899684477694,25,-294.15899684477694,25,267.61026205290705,4,100.51377907807964,4,100.51377907807957,0.0,873.2758989655786,0.0,267.61026205290705
110000,664.6292569947323,1650.3998667854878,664.6292569947324,-175.1720017386532,25,-175.1720017386532,25,559.9088400924293,5,664.6292569947324,5,664.6292569947323,0.0,1650.3998667854878,0.0,559.9088400924293
120000,1051.5331749629122,1929.930554465923,1051.5331749629122,-70.54443056680799,25,-70.54443056680799,25,651.6449523687817,6,1051.5331749629122,6,1051.5331749629122,0.0,1929.930554465923,0.0,651.6449523687817
130000,1535.0665615418852,2249.2065248963017,1535.0665615418857,-283.0385184731103,25,-283.0385184731103,25,791.2223707630294,7,1535.0665615418857,7,1535.0665615418852,0.0,2249.2065248963017,0.0,791.2223707630294
140000,2133.0658260382393,2536.474843629875,2133.0658260382393,463.1442140442493,25,463.1442140442493,25,391.6445628419845,8,2133.0658260382393,8,2133.0658260382393,0.0,2536.474843629875,0.0,391.6445628419845
150000,2646.428376098342,3031.378305160124,2646.4283760983417,1714.2954785574366,25,1714.2954785574366,25,258.08869684371047,9,2646.4283760983417,9,2646.428376098342,0.0,3031.378305160124,0.0,258.08869684371047
160000,2524.2371311842567,3263.7414544005596,2524.2371311842576,230.30280268146026,25,230.30280268146026,25,792.7265593251503,10,2524.2371311842576,10,2524.2371311842567,0.0,3263.7414544005596,0.0,792.7265593251503
170000,2861.3832544003503,3576.621236469382,2861.3832544003503,282.8234553360076,25,282.8234553360076,25,724.821512027866,11,2861.3832544003503,11,2861.3832544003503,0.0,3576.621236469382,0.0,724.821512027866
180000,3072.880028399969,3787.636380119877,3072.880028399969,1285.827632036099,25,1285.827632036099,25,567.9288743508388,12,3072.880028399969,12,3072.880028399969,0.0,3787.636380119877,0.0,567.9288743508388
190000,3360.076955020417,3942.0368982837244,3360.0769550204172,1250.4491091459993,25,1250.4491091459993,25,538.8064737094658,13,3360.0769550204172,13,3360.076955020417,0.0,3942.0368982837244,0.0,538.8064737094658
200000,3369.8672019466294,4261.143738041804,3369.8672019466303,-169.58216457549722,25,-169.58216457549722,25,920.4784762837816,14,3369.8672019466303,14,3369.8672019466294,0.0,4261.143738041804,0.0,920.4784762837816
210000,3761.99861622103,4591.866568519726,3761.9986162210275,1077.0175632658443,25,1077.0175632658443,25,613.620927611042,15,3761.9986162210275,15,3761.99861622103,0.0,4591.866568519726,0.0,613.620927611042
220000,3673.972720692138,4584.509345559229,3673.9727206921384,899.6948540065266,25,899.6948540065266,25,1076.8155947731273,16,3673.9727206921384,16,3673.972720692138,0.0,4584.509345559229,0.0,1076.8155947731273
230000,4159.219695556631,5006.429283076294,4159.2196955566305,319.1523732027792,25,319.1523732027792,25,928.0447929384259,17,4159.2196955566305,17,4159.219695556631,0.0,5006.429283076294,0.0,928.0447929384259
240000,4619.683484223562,5343.626922059492,4619.683484223562,1964.3550177739858,25,1964.3550177739858,25,831.7555717818079,18,4619.683484223562,18,4619.683484223562,0.0,5343.626922059492,0.0,831.7555717818079
250000,4815.504567639399,5375.017822049356,4815.504567639401,4348.956925548474,25,4348.956925548474,25,297.13550389821086,19,4815.504567639401,19,4815.504567639399,0.0,5375.017822049356,0.0,297.13550389821086
260000,4538.767244462448,5706.446651753359,4538.767244462448,387.3764253693883,25,387.3764253693883,25,1192.1117565204277,20,4538.767244462448,20,4538.767244462448,0.0,5706.446651753359,0.0,1192.1117565204277
270000,4743.074192795598,5873.44031176502,4743.074192795597,148.9976061883615,25,148.9976061883615,25,1215.806908127278,21,4743.074192795597,21,4743.074192795598,0.0,5873.44031176502,0.0,1215.806908127278
280000,5029.516774459288,5920.058530967709,5029.516774459289,1067.5775503548907,25,1067.5775503548907,25,1008.1721340562493,22,5029.516774459289,22,5029.516774459288,0.0,5920.058530967709,0.0,1008.1721340562493
290000,4652.19941852694,6161.529285183419,4652.1994185269405,-274.2131742597778,25,-274.2131742597778,25,1814.7578637822012,23,4652.1994185269405,23,4652.19941852694,0.0,6161.529285183419,0.0,1814.7578637822012
300000,5132.789567017128,6273.610552869301,5132.789567017127,1220.1704915161672,25,1220.1704915161672,25,1272.7724419963124,24,5132.789567017127,24,5132.789567017128,0.0,6273.610552869301,0.0,1272.7724419963124
310000,5620.312079724821,6286.152740174871,5620.3120797248175,4812.304246927473,25,4812.304246927473,25,369.95383907864357,25,5620.3120797248175,25,5620.312079724821,0.0,6286.152740174871,0.0,369.95383907864357
320000,5087.317590425449,6251.785104616688,5087.31759042545,-217.26516915506667,25,-217.26516915506667,25,1563.332921572295,26,5087.31759042545,26,5087.317590425449,0.0,6251.785104616688,0.0,1563.332921572295
330000,5965.364628057522,6844.320036045237,5965.364628057523,4355.757556762439,25,4355.757556762439,25,535.51206315479,27,5965.364628057523,27,5965.364628057522,0.0,6844.320036045237,0.0,535.51206315479
340000,6028.125832246168,7684.836224594744,6028.125832246169,5042.7538570526185,25,5042.7538570526185,25,697.673852606107,28,6028.125832246169,28,6028.125832246168,0.0,7684.836224594744,0.0,697.673852606107
