MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn
300,1.0,4.378337356831688,190.67468863060284,0,177.59412891017962,300,0,4.378337356831688,1.0,57748,155.52589013426336,190.67468863060284,155.52589013426336,177.59412891017962,177.59412891017962,177.59412891017962
301,1.0,19.536200739520147,238.09697205006592,1,188.1303881232513,301,1,19.536200739520147,1.0,64996,135.8561050617637,238.09697205006592,135.8561050617637,188.1303881232513,188.1303881232513,188.1303881232513
248,1.0,18.688370366793592,293.82268790663744,2,223.76358120102051,248,2,18.688370366793592,1.0,72414,138.54306415679247,293.82268790663744,138.54306415679247,223.76358120102051,223.76358120102051,223.76358120102051
220,1.0,28.358829446982757,336.08184056561714,3,263.00935964740137,220,3,28.358829446982757,1.0,79874,66.34746079217476,336.08184056561714,66.34746079217476,263.00935964740137,263.00935964740137,263.00935964740137
227,1.0,142.96325866822843,538.2896059937588,4,298.4334384712313,227,4,142.96325866822843,1.0,87561,75.50693729421076,538.2896059937588,75.50693729421076,298.43343847123134,298.4334384712313,298.43343847123134
205,1.0,91.18643907458043,800.6992387564712,5,306.4593323078054,205,5,91.18643907458043,1.0,95476,107.9286289348335,800.6992387564712,107.9286289348335,306.4593323078054,306.4593323078054,306.4593323078054
195,1.0,56.86885561082938,453.45449067031376,6,303.9544313640821,195,6,56.86885561082938,1.0,103192,191.27139096823396,453.45449067031376,191.27139096823396,303.9544313640821,303.9544313640821,303.9544313640821
190,1.0,33.67402840332484,392.24098348052837,7,299.6269441164038,190,7,33.67402840332484,1.0,110783,202.94663954127472,392.24098348052837,202.94663954127472,299.6269441164038,299.6269441164038,299.6269441164038
236,1.0,70.00961229054408,354.0683243900247,8,235.03539554513017,236,8,70.00961229054408,1.0,118492,37.484318471830335,354.0683243900247,37.484318471830335,235.03539554513017,235.03539554513017,235.03539554513017
231,1.0,37.84438667407439,343.66236442323327,9,265.4437091432445,231,9,37.84438667407439,1.0,126206,32.39678138870118,343.66236442323327,32.39678138870118,265.4437091432445,265.4437091432445,265.4437091432445
227,1.0,23.934836062027692,308.66439804086485,10,269.65151553985714,227,10,23.934836062027692,1.0,133730,30.889775700935687,308.66439804086485,30.889775700935687,269.65151553985714,269.65151553985714,269.65151553985714
245,1.0,31.646062938286097,303.8278210953769,11,243.62965548176618,245,11,31.646062938286097,1.0,141234,33.68738231540328,303.8278210953769,33.68738231540328,243.62965548176618,243.62965548176618,243.62965548176618
201,1.0,10.39829883740641,384.17878657447784,12,345.6652823056075,201,12,10.39829883740641,1.0,148609,314.3620750200266,384.17878657447784,314.3620750200266,345.6652823056075,345.6652823056075,345.6652823056075
201,1.0,17.120756966995163,412.5729304297469,13,376.00517192809946,201,13,17.120756966995163,1.0,156377,336.38626152188885,412.5729304297469,336.38626152188885,376.00517192809946,376.00517192809946,376.00517192809946
192,1.0,51.367846829007235,505.73578442218866,14,392.1301466087286,192,14,51.367846829007235,1.0,164199,49.49845372883221,505.73578442218866,49.49845372883221,392.1301466087286,392.1301466087286,392.1301466087286
217,1.0,15.210481335451725,392.8021310388714,15,331.4164250172222,217,15,15.210481335451725,1.0,171939,274.69450364215913,392.8021310388714,274.69450364215913,331.4164250172222,331.4164250172222,331.4164250172222
258,1.0,110.5050256340346,417.72922518450065,16,259.0443938958939,258,16,110.5050256340346,1.0,179803,30.126950137561558,417.72922518450065,30.126950137561558,259.0443938958939,259.0443938958939,259.0443938958939
189,1.0,70.15195046211592,663.4022422903679,17,383.95764691204704,189,17,70.15195046211592,1.0,187503,274.16288726059355,663.4022422903679,274.16288726059355,383.957646912047,383.95764691204704,383.957646912047
195,1.0,58.68926559725942,603.6874313637479,18,389.5891116072634,195,18,58.68926559725942,1.0,195089,259.4651615306549,603.6874313637479,259.4651615306549,389.5891116072634,389.5891116072634,389.5891116072634
166,1.0,73.25446421869228,786.3745109609342,19,492.1294758743233,166,19,73.25446421869228,1.0,202577,362.2093646250815,786.3745109609342,362.2093646250815,492.1294758743232,492.1294758743233,492.1294758743232
187,1.0,99.27816046070043,781.3815937979036,20,411.94532450314136,187,20,99.27816046070043,1.0,210500,220.08479724515328,781.3815937979036,220.08479724515328,411.94532450314136,411.94532450314136,411.94532450314136
179,1.0,140.78588565131543,916.5076159932521,21,456.98694091350086,179,21,140.78588565131543,1.0,218179,198.06527295673996,916.5076159932521,198.06527295673996,456.98694091350086,456.98694091350086,456.98694091350086
212,1.0,141.9216678785471,719.7824192374483,22,339.95793565648376,212,22,141.9216678785471,1.0,225980,183.24836887679294,719.7824192374483,183.24836887679294,339.95793565648376,339.95793565648376,339.95793565648376
169,1.0,220.34612861034196,980.9313998013073,23,480.2736896720035,169,23,220.34612861034196,1.0,233804,92.43989384864474,980.9313998013073,92.43989384864474,480.2736896720035,480.2736896720035,480.2736896720035
134,1.0,88.88946801001839,820.4837731877906,24,637.0182907150158,134,24,88.88946801001839,1.0,241502,237.86480020040779,820.4837731877906,237.86480020040779,637.0182907150158,637.0182907150158,637.0182907150158
159,1.0,98.98186086395323,716.1398316336371,25,536.9684132036805,159,25,98.98186086395323,1.0,249289,280.9774436838329,716.1398316336371,280.9774436838329,536.9684132036805,536.9684132036805,536.9684132036805
157,1.0,101.2514589990528,717.4833362311557,26,548.8986849664298,157,26,101.2514589990528,1.0,257453,267.97985453562586,717.4833362311557,267.97985453562586,548.8986849664296,548.8986849664298,548.8986849664296
148,1.0,78.78593904578827,709.3243480541391,27,602.5105384416803,148,27,78.78593904578827,1.0,265304,287.35514264080007,709.3243480541391,287.35514264080007,602.5105384416802,602.5105384416803,602.5105384416802
145,1.0,232.95309549668298,2087.8120187965565,28,600.7977644224135,145,28,232.95309549668298,1.0,274044,277.2027279135355,2087.8120187965565,277.2027279135355,600.7977644224135,600.7977644224135,600.7977644224135
171,1.0,137.25249209659253,1073.3987493241555,29,469.6825140565988,171,29,137.25249209659253,1.0,282333,23.89694043472349,1073.3987493241555,23.89694043472349,469.68251405659885,469.6825140565988,469.68251405659885
142,1.0,230.73825509399788,1367.1020437866769,30,609.567346357564,142,30,230.73825509399788,1.0,290142,35.30239893771709,1367.1020437866769,35.30239893771709,609.567346357564,609.567346357564,609.567346357564
156,1.0,138.03257283521225,944.2644131577862,31,551.1646864716408,156,31,138.03257283521225,1.0,298847,146.97678587961877,944.2644131577862,146.97678587961877,551.1646864716408,551.1646864716408,551.1646864716408
134,1.0,229.18180859296976,1648.3443030202063,32,617.3643827124212,134,32,229.18180859296976,1.0,307003,136.94134700362102,1648.3443030202063,136.94134700362102,617.3643827124212,617.3643827124212,617.3643827124212
110,1.0,540.420600673072,3145.7553687841146,33,811.8441451630508,110,33,540.420600673072,1.0,315803,123.73247610096365,3145.7553687841146,123.73247610096365,811.8441451630507,811.8441451630508,811.8441451630507
129,1.0,231.79419069039128,1315.215483971425,34,667.4267615451045,129,34,231.79419069039128,1.0,323694,187.05368330148733,1315.215483971425,187.05368330148733,667.4267615451046,667.4267615451045,667.4267615451046
106,1.0,294.66586865234353,1335.7582092993625,35,774.9492271278275,106,35,294.66586865234353,1.0,333445,82.6556183599647,1335.7582092993625,82.6556183599647,774.9492271278275,774.9492271278275,774.9492271278275
120,1.0,200.66423745449222,1566.7535439092335,36,707.6301457862729,120,36,200.66423745449222,1.0,341557,331.72717950773074,1566.7535439092335,331.72717950773074,707.630145786273,707.6301457862729,707.630145786273
108,1.0,466.9416039888323,2704.98927448495,37,787.4262069488133,108,37,466.9416039888323,1.0,351113,146.68812403811646,2704.98927448495,146.68812403811646,787.4262069488133,787.4262069488133,787.4262069488133
123,1.0,204.8023097252359,1829.8137602167442,38,710.0578340971696,123,38,204.8023097252359,1.0,361248,364.29436186247955,1829.8137602167442,364.29436186247955,710.0578340971696,710.0578340971696,710.0578340971696
144,1.0,195.5971041720689,1322.5042580920071,39,566.0582114805813,144,39,195.5971041720689,1.0,369864,64.39858346331127,1322.5042580920071,64.39858346331127,566.0582114805813,566.0582114805813,566.0582114805813
152,1.0,186.80729387713964,1222.278211908249,40,506.5862796721757,152,40,186.80729387713964,1.0,378057,251.37900957606064,1222.278211908249,251.37900957606064,506.5862796721757,506.5862796721757,506.5862796721757
165,1.0,230.38106787665527,961.7386163252667,41,459.10391456524746,165,41,230.38106787665527,1.0,385959,77.59709228930406,961.7386163252667,77.59709228930406,459.10391456524746,459.10391456524746,459.10391456524746
164,1.0,137.2863075647798,840.6439525798176,42,474.4973910569714,164,42,137.2863075647798,1.0,394021,324.9660606667458,840.6439525798176,324.9660606667458,474.49739105697137,474.4973910569714,474.49739105697137
135,1.0,115.32878433738865,885.4339142253588,43,637.8367331620029,135,43,115.32878433738865,1.0,401730,331.4376375105472,885.4339142253588,331.4376375105472,637.8367331620029,637.8367331620029,637.8367331620029
139,1.0,124.85024965906263,740.6495289842779,44,605.789777740149,139,44,124.85024965906263,1.0,408933,214.5324139104514,740.6495289842779,214.5324139104514,605.789777740149,605.789777740149,605.789777740149
