MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn
1084,40.554922759665146,0,1.0,40.55492275966514,1084,58.627640985790364,1.0,57372,2.5592324887314026,31.759793160933185,58.627640985790364,31.759793160933185,40.554922759665146,40.55492275966514,0,2.5592324887314026
2154,14.04003443072862,1,1.0,14.04003443072862,2154,21.72884979850175,1.0,64487,1.6188610033834387,9.323810202690524,21.72884979850175,9.323810202690524,14.04003443072862,14.04003443072862,1,1.6188610033834387
459,99.8387814944872,2,1.0,99.8387814944872,459,166.25381608920048,1.0,71532,27.621553388444664,62.168648163252385,166.25381608920048,62.168648163252385,99.8387814944872,99.8387814944872,2,27.621553388444664
265,194.47388736729877,3,1.0,194.4738873672988,265,213.1819712271089,1.0,78813,14.372973092535261,138.41568587205884,213.1819712271089,138.41568587205884,194.47388736729877,194.4738873672988,3,14.372973092535261
271,216.7110864241995,4,1.0,216.7110864241995,271,274.2621162046068,1.0,86550,44.069794033190895,8.12638076542723,274.2621162046068,8.12638076542723,216.7110864241995,216.7110864241995,4,44.069794033190895
254,212.0025747250012,5,1.0,212.0025747250012,254,303.0691419476478,1.0,93973,30.820517420779623,157.07896220049867,303.0691419476478,157.07896220049867,212.0025747250012,212.0025747250012,5,30.820517420779623
297,193.92443768485398,6,1.0,193.92443768485398,297,223.47755315312796,1.0,101597,10.046261054349412,160.13910056655942,223.47755315312796,160.13910056655942,193.92443768485398,193.92443768485398,6,10.046261054349412
299,190.71690808982183,7,1.0,190.71690808982183,299,208.29789790558678,1.0,109117,4.93731667372641,181.84671006718787,208.29789790558678,181.84671006718787,190.71690808982183,190.71690808982183,7,4.93731667372641
250,212.75180748933505,8,1.0,212.75180748933505,250,335.3626477487597,1.0,116656,19.80546087971435,179.08241637730214,335.3626477487597,179.08241637730214,212.75180748933505,212.75180748933505,8,19.80546087971435
194,279.61072837114045,9,1.0,279.61072837114045,194,1008.3551368760369,1.0,124193,117.79793551144928,81.93210050280817,1008.3551368760369,81.93210050280817,279.61072837114045,279.61072837114045,9,117.79793551144928
204,257.27922873698503,10,1.0,257.27922873698503,204,763.5650694874212,1.0,131839,80.15047856363653,159.02255392013734,763.5650694874212,159.02255392013734,257.27922873698503,257.27922873698503,10,80.15047856363653
165,277.0340346468713,11,1.0,277.03403464687125,165,812.093425074872,1.0,139561,185.41712567832883,26.56645681480622,812.093425074872,26.56645681480622,277.0340346468713,277.03403464687125,11,185.41712567832883
129,440.81883777244013,12,1.0,440.81883777244,129,1076.2789824046586,1.0,147556,169.26401774597494,144.52856100343047,1076.2789824046586,144.52856100343047,440.81883777244013,440.81883777244,12,169.26401774597494
206,220.24943125206602,13,1.0,220.249431252066,206,860.3588753729871,1.0,155342,118.73926588057414,120.478039570467,860.3588753729871,120.478039570467,220.24943125206602,220.249431252066,13,118.73926588057414
192,271.0064531753014,14,1.0,271.0064531753014,192,598.4549440960218,1.0,162854,65.34521921303602,135.56425434009304,598.4549440960218,135.56425434009304,271.0064531753014,271.0064531753014,14,65.34521921303602
200,241.7528025812437,15,1.0,241.7528025812437,200,570.0240784638645,1.0,170575,61.015082955570136,89.10298291101115,570.0240784638645,89.10298291101115,241.7528025812437,241.7528025812437,15,61.015082955570136
194,272.89857966978985,16,1.0,272.89857966978985,194,640.1312727283917,1.0,178373,82.68971155989594,89.70057160349921,640.1312727283917,89.70057160349921,272.89857966978985,272.89857966978985,16,82.68971155989594
229,235.25783102153116,17,1.0,235.25783102153116,229,597.3485813745145,1.0,185900,68.8486398561644,134.28897548781813,597.3485813745145,134.28897548781813,235.25783102153116,235.25783102153116,17,68.8486398561644
179,358.88580083812457,18,1.0,358.88580083812445,179,584.4987503527366,1.0,193512,102.48684623202531,48.359191218417344,584.4987503527366,48.359191218417344,358.88580083812457,358.88580083812445,18,102.48684623202531
266,230.47715871722255,19,1.0,230.47715871722255,266,607.8446224943602,1.0,201419,177.51825652746976,31.092382043973263,607.8446224943602,31.092382043973263,230.47715871722255,230.47715871722255,19,177.51825652746976
194,315.7768731626465,20,1.0,315.77687316264644,194,458.70157813657977,1.0,209181,40.91936729735245,242.41723020855923,458.70157813657977,242.41723020855923,315.7768731626465,315.77687316264644,20,40.91936729735245
208,306.1545286274985,21,1.0,306.1545286274985,208,435.10011239750764,1.0,216657,50.54310070759692,197.19288989077782,435.10011239750764,197.19288989077782,306.1545286274985,306.1545286274985,21,50.54310070759692
