MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn
1.0,132.11376700356917,19.25176612534753,162.46889690549833,318,162.46889690549833,57565,209.20422051835413,162.46889690549833,318,209.20422051835413,1.0,0,19.25176612534753,162.46889690549833,0,132.11376700356917
1.0,33.212440010489864,13.916062574957435,223.8470047547979,276,223.8470047547979,65001,258.9062654282646,223.8470047547979,276,258.9062654282646,1.0,1,13.916062574957435,223.8470047547979,1,33.212440010489864
1.0,181.04578495054145,5.306536307939472,199.72067074409978,300,199.72067074409978,72740,213.082096024357,199.72067074409978,300,213.082096024357,1.0,2,5.306536307939472,199.72067074409978,2,181.04578495054145
1.0,166.04556259071242,6.798257670522093,194.60933280076696,292,194.60933280076696,80346,210.53630606681682,194.609332800767,292,210.53630606681682,1.0,3,6.798257670522093,194.609332800767,3,166.04556259071242
1.0,97.12283252965081,15.901028167753624,192.1664404349487,300,192.1664404349487,87825,219.90302570447489,192.16644043494864,300,219.90302570447489,1.0,4,15.901028167753624,192.16644043494864,4,97.12283252965081
1.0,184.2797124046057,18.707653407130586,227.8346173940949,251,227.8346173940949,95305,275.5532171480915,227.83461739409492,251,275.5532171480915,1.0,5,18.707653407130586,227.83461739409492,5,184.2797124046057
1.0,68.7382273874403,53.946770728345705,171.95473868377755,276,171.95473868377755,102731,427.0356799292964,171.95473868377758,276,427.0356799292964,1.0,6,53.946770728345705,171.95473868377758,6,68.7382273874403
1.0,263.99916711835175,19.843403702018197,361.9460138822182,150,361.9460138822182,110111,424.08445655650826,361.9460138822182,150,424.08445655650826,1.0,7,19.843403702018197,361.9460138822182,7,263.99916711835175
1.0,207.70403761778067,96.2306516073234,419.37632000112114,146,419.37632000112114,117843,624.6080873467686,419.3763200011212,146,624.6080873467686,1.0,8,96.2306516073234,419.3763200011212,8,207.70403761778067
1.0,36.656863234828734,32.39297405455649,245.41067939449118,237,245.41067939449118,125318,337.94475468294564,245.41067939449118,237,337.94475468294564,1.0,9,32.39297405455649,245.41067939449118,9,36.656863234828734
