MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
158.34427859940664,176.93454009975613,4.16266709345458,188.10449728895387,1.0,301,57562,0,301,188.10449728895387,176.93454009975613,1.0,0,176.93454009975613,4.16266709345458,158.34427859940664,176.93454009975613
160.00030663398402,199.63552533640808,8.902637444168173,223.16527575580957,1.0,295,64785,1,295,223.16527575580957,199.63552533640808,1.0,1,199.63552533640808,8.902637444168173,160.00030663398402,199.63552533640808
125.19430822877003,198.0757853304343,23.062114811318747,237.228338647014,1.0,283,72369,2,283,237.228338647014,198.0757853304343,1.0,2,198.0757853304343,23.062114811318747,125.19430822877003,198.0757853304343
88.29184637449616,182.52584054821497,32.93533355371422,299.54736924696715,1.0,291,80017,3,291,299.54736924696715,182.52584054821497,1.0,3,182.52584054821497,32.93533355371422,88.29184637449616,182.52584054821497
37.76418918120322,87.45315207636962,64.43281888246943,319.80154992161835,1.0,505,87578,4,505,319.80154992161835,87.45315207636962,1.0,4,87.45315207636962,64.43281888246943,37.76418918120322,87.45315207636962
67.57233334247604,271.65668598875504,178.1032551914965,844.8530262654909,1.0,232,95062,5,232,844.8530262654909,271.65668598875504,1.0,5,271.65668598875504,178.1032551914965,67.57233334247604,271.65668598875504
166.09397529771908,275.29224670825954,93.701484391413,994.5386060846812,1.0,219,102830,6,219,994.5386060846812,275.29224670825954,1.0,6,275.29224670825954,93.701484391413,166.09397529771908,275.29224670825954
187.06207231105824,350.9992754460987,106.55332503427422,766.2364489881049,1.0,184,110357,7,184,766.2364489881049,350.9992754460987,1.0,7,350.9992754460987,106.55332503427422,187.06207231105824,350.9992754460987
241.24730413570148,302.20754821481444,16.31265594128554,341.93167685864137,1.0,220,118199,8,220,341.93167685864137,302.20754821481444,1.0,8,302.20754821481444,16.31265594128554,241.24730413570148,302.20754821481444
138.32196144639997,238.4825598267658,55.311830052541474,320.62686002907475,1.0,256,125871,9,256,320.62686002907475,238.4825598267658,1.0,9,238.4825598267658,55.311830052541474,138.32196144639997,238.4825598267658
197.50915169977787,279.77117202909153,27.826794991024332,340.15925278114105,1.0,240,133320,10,240,340.15925278114105,279.77117202909153,1.0,10,279.77117202909153,27.826794991024332,197.50915169977787,279.77117202909153
