MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate
39.78296054907511,2.0409261928658133,57534,1100,2.0409261928658133,51.31984243436675,51.31984243436675,0,1.0,39.782960549075106,39.78296054907511,39.782960549075106,1100,0,34.858404668855876,34.858404668855876,1.0
190.12683927439952,9.272266165849553,64670,276,9.272266165849553,200.01091646445366,200.01091646445366,1,1.0,190.12683927439952,190.12683927439952,190.12683927439952,276,1,134.1973679518326,134.1973679518326,1.0
211.6628365437803,8.444855024017196,72172,275,8.444855024017196,229.35080603312133,229.35080603312133,2,1.0,211.6628365437803,211.6628365437803,211.6628365437803,275,2,178.36033288534506,178.36033288534506,1.0
264.9680612120966,16.889135923391493,79673,226,16.889135923391493,286.4229111390815,286.4229111390815,3,1.0,264.9680612120966,264.9680612120966,264.9680612120966,226,3,34.808433421138815,34.808433421138815,1.0
254.64162469931335,36.401185524215485,87070,225,36.401185524215485,304.44627606470993,304.44627606470993,4,1.0,254.64162469931335,254.64162469931335,254.64162469931335,225,4,110.72928701009343,110.72928701009343,1.0
294.72709482056354,32.259903926201545,94573,227,32.259903926201545,343.6019494624262,343.6019494624262,5,1.0,294.72709482056354,294.72709482056354,294.72709482056354,227,5,213.57382062246126,213.57382062246126,1.0
262.37257082134295,69.47966529536716,101880,227,69.47966529536716,506.5771313044799,506.5771313044799,6,1.0,262.37257082134295,262.37257082134295,262.37257082134295,227,6,142.64061784331687,142.64061784331687,1.0
292.1773921074456,89.70006806283716,109676,212,89.70006806283716,668.8661528854408,668.8661528854408,7,1.0,292.1773921074457,292.1773921074456,292.1773921074457,212,7,125.5374684098705,125.5374684098705,1.0
238.88648831569324,36.21453493719481,117247,231,36.21453493719481,330.6623207844897,330.6623207844897,8,1.0,238.88648831569324,238.88648831569324,238.88648831569324,231,8,164.78387180451142,164.78387180451142,1.0
254.703681795538,30.093988895698903,124901,215,30.093988895698903,303.2251664542645,303.2251664542645,9,1.0,254.70368179553802,254.703681795538,254.70368179553802,215,9,164.3348981545679,164.3348981545679,1.0
