MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/StdReturn,TotalEnvSteps,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/TerminationRate
1.0,187.98428476630815,300,177.58274141555026,157.52658988643068,177.58274141555026,0,187.98428476630815,4.254377904167305,57469,300,157.52658988643068,177.58274141555026,0,4.254377904167305,177.58274141555026,1.0
1.0,219.52045219374295,300,182.691011924613,134.55870518800387,182.69101192461304,1,219.52045219374295,12.29222080277846,64635,300,134.55870518800387,182.691011924613,1,12.29222080277846,182.69101192461304,1.0
1.0,238.00839650186302,329,167.85004635151938,11.586910625783162,167.85004635151938,2,238.00839650186302,90.34047883159515,71836,329,11.586910625783162,167.85004635151938,2,90.34047883159515,167.85004635151938,1.0
1.0,265.96969008144634,275,216.36730323955365,180.99883122453687,216.36730323955368,3,265.96969008144634,15.294298736761013,79384,275,180.99883122453687,216.36730323955365,3,15.294298736761013,216.36730323955368,1.0
1.0,328.6520927092676,240,287.86659222489624,249.00447212319392,287.8665922248963,4,328.6520927092676,14.100346410825589,86912,240,249.00447212319392,287.86659222489624,4,14.100346410825589,287.8665922248963,1.0
1.0,300.5592347193031,248,234.7551840780543,93.72945667576965,234.75518407805424,5,300.5592347193031,52.90782996534113,94513,248,93.72945667576965,234.7551840780543,5,52.90782996534113,234.75518407805424,1.0
1.0,313.8606852755816,265,222.90655131540004,151.42810840966112,222.90655131540004,6,313.8606852755816,32.87572949431772,102183,265,151.42810840966112,222.90655131540004,6,32.87572949431772,222.90655131540004,1.0
1.0,620.9967654819186,191,399.2773853078951,196.81582698642956,399.2773853078951,7,620.9967654819186,67.70450579444191,109761,191,196.81582698642956,399.2773853078951,7,67.70450579444191,399.2773853078951,1.0
1.0,600.3988560046723,199,366.0823816275107,75.20860867407472,366.0823816275107,8,600.3988560046723,91.41647286974545,117418,199,75.20860867407472,366.0823816275107,8,91.41647286974545,366.0823816275107,1.0
1.0,335.8530701208266,250,262.2789584456361,230.63257920151847,262.2789584456361,9,335.8530701208266,15.288291516449373,125302,250,230.63257920151847,262.2789584456361,9,15.288291516449373,262.2789584456361,1.0
1.0,339.51709255016397,228,278.03552761525896,56.65210395300522,278.03552761525896,10,339.51709255016397,26.790124306690114,132777,228,56.65210395300522,278.03552761525896,10,26.790124306690114,278.03552761525896,1.0
1.0,395.7799888150422,238,268.46467368771306,141.00554668285497,268.46467368771306,11,395.7799888150422,41.26551498840822,140489,238,141.00554668285497,268.46467368771306,11,41.26551498840822,268.46467368771306,1.0
1.0,512.051971336475,210,334.2847452316794,138.93689626909108,334.2847452316794,12,512.051971336475,64.86825734504946,148025,210,138.93689626909108,334.2847452316794,12,64.86825734504946,334.2847452316794,1.0
1.0,512.0431171928855,228,293.6216480776061,35.71502078969097,293.62164807760604,13,512.0431171928855,78.86121067141819,155550,228,35.71502078969097,293.6216480776061,13,78.86121067141819,293.62164807760604,1.0
1.0,544.5190116167048,247,269.0851899520768,45.76869726202548,269.0851899520768,14,544.5190116167048,102.60593742550333,163211,247,45.76869726202548,269.0851899520768,14,102.60593742550333,269.0851899520768,1.0
1.0,538.216035428734,217,322.5885933374053,51.023004181145446,322.58859333740526,15,538.216035428734,85.71976374160094,170786,217,51.023004181145446,322.5885933374053,15,85.71976374160094,322.58859333740526,1.0
1.0,781.5290449653295,152,593.3391016946222,386.44543955121014,593.3391016946222,16,781.5290449653295,102.01517192838196,178889,152,386.44543955121014,593.3391016946222,16,102.01517192838196,593.3391016946222,1.0
1.0,696.2904036434261,153,564.8005920829202,380.5663032721662,564.8005920829202,17,696.2904036434261,44.6540069338761,186837,153,380.5663032721662,564.8005920829202,17,44.6540069338761,564.8005920829202,1.0
1.0,687.8236627299484,163,549.210059432346,360.5558848212795,549.210059432346,18,687.8236627299484,83.56802906637836,194476,163,360.5558848212795,549.210059432346,18,83.56802906637836,549.210059432346,1.0
1.0,797.9824244977086,172,482.7185684286392,278.46104427345045,482.71856842863906,19,797.9824244977086,99.80891103988881,201851,172,278.46104427345045,482.7185684286392,19,99.80891103988881,482.71856842863906,1.0
1.0,740.5294770272798,180,441.24357184937065,150.80989718552422,441.2435718493706,20,740.5294770272798,117.67271223979559,210198,180,150.80989718552422,441.24357184937065,20,117.67271223979559,441.2435718493706,1.0
1.0,2113.145367266719,119,743.1006873077255,12.91002040736996,743.1006873077256,21,2113.145367266719,245.19332264180719,218125,119,12.91002040736996,743.1006873077255,21,245.19332264180719,743.1006873077256,1.0
1.0,1944.2424968363564,98,824.3314886837228,433.76315736331605,824.3314886837227,22,1944.2424968363564,353.28195434455336,226519,98,433.76315736331605,824.3314886837228,22,353.28195434455336,824.3314886837227,1.0
1.0,2125.6678190572693,108,733.8695271807778,300.5337345230572,733.8695271807778,23,2125.6678190572693,324.82063945018496,234691,108,300.5337345230572,733.8695271807778,23,324.82063945018496,733.8695271807778,1.0
0.9903846153846154,2918.6383465955987,104,867.4983602899382,435.8444001902335,867.4983602899382,24,2918.6383465955987,602.9882599878969,243578,104,435.8444001902335,867.4983602899382,24,602.9882599878969,867.4983602899382,0.9903846153846154
0.9915254237288136,3002.4302432938907,118,694.0742092737187,428.55945142001,694.0742092737186,25,3002.4302432938907,315.23566409527683,251377,118,428.55945142001,694.0742092737187,25,315.23566409527683,694.0742092737186,0.9915254237288136
1.0,796.3340529090584,212,379.9554551090851,44.65722047324588,379.9554551090851,26,796.3340529090584,221.37468087844672,259478,212,44.65722047324588,379.9554551090851,26,221.37468087844672,379.9554551090851,1.0
1.0,641.8409086447792,274,265.00736269348164,35.94139727011132,265.0073626934817,27,641.8409086447792,169.5979468468119,267569,274,35.94139727011132,265.00736269348164,27,169.5979468468119,265.0073626934817,1.0
1.0,2447.2128249360285,219,361.4415239570504,38.973849227296824,361.4415239570504,28,2447.2128249360285,270.41494855551946,276181,219,38.973849227296824,361.4415239570504,28,270.41494855551946,361.4415239570504,1.0
1.0,1951.3474978277457,160,524.917842355789,55.63763414490784,524.9178423557889,29,1951.3474978277457,188.8650891932008,283959,160,55.63763414490784,524.917842355789,29,188.8650891932008,524.9178423557889,1.0
1.0,1638.5976058500307,164,510.11017856514604,197.97859853142788,510.11017856514604,30,1638.5976058500307,158.3210381015434,292316,164,197.97859853142788,510.11017856514604,30,158.3210381015434,510.11017856514604,1.0
1.0,1529.7729870037185,132,639.8312271282424,138.42981334727926,639.8312271282424,31,1529.7729870037185,191.98076120035668,300991,132,138.42981334727926,639.8312271282424,31,191.98076120035668,639.8312271282424,1.0
1.0,771.6182211894591,156,566.2460653527648,66.53140120258335,566.2460653527648,32,771.6182211894591,113.00082877532125,309461,156,66.53140120258335,566.2460653527648,32,113.00082877532125,566.2460653527648,1.0
