MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration
0,44.015957446808514,119.0,5.0,44.015957446808514,119.0,19.655943842477136,23057,44.015957446808514,188,44.015957446808514,188,5.0,1.0,19.655943842477136,1.0,0
1,91.61290322580645,347.0,3.0,91.61290322580645,347.0,56.50978262594446,30228,91.61290322580645,93,91.61290322580645,93,3.0,1.0,56.50978262594446,1.0,1
2,61.661764705882355,156.0,9.0,61.661764705882355,156.0,22.982160789030956,37772,61.661764705882355,136,61.661764705882355,136,9.0,1.0,22.982160789030956,1.0,2
3,78.14953271028037,253.0,34.0,78.14953271028037,253.0,34.463797540363075,45123,78.14953271028037,107,78.14953271028037,107,34.0,1.0,34.463797540363075,1.0,3
4,132.27777777777777,974.0,5.0,132.27777777777777,974.0,150.80499017515433,52552,132.27777777777777,72,132.27777777777777,72,5.0,1.0,150.80499017515433,1.0,4
5,384.2916666666667,1000.0,20.0,384.2916666666667,1000.0,331.12616920224764,61720,384.2916666666667,24,384.2916666666667,24,20.0,0.8333333333333334,331.12616920224764,0.8333333333333334,5
6,287.24242424242425,1000.0,23.0,287.24242424242425,1000.0,332.0236419387093,71967,287.24242424242425,33,287.24242424242425,33,23.0,0.8484848484848485,332.0236419387093,0.8484848484848485,6
7,697.3571428571429,1000.0,97.0,697.3571428571429,1000.0,374.7039988239969,80652,697.3571428571429,14,697.3571428571429,14,97.0,0.5,374.7039988239969,0.5,7
8,442.65,1000.0,19.0,442.65,1000.0,383.50153519901323,91838,442.65,20,442.65,20,19.0,0.75,383.50153519901323,0.75,8
9,225.73469387755102,1000.0,5.0,225.73469387755102,1000.0,296.9255232332769,101135,225.73469387755102,49,225.73469387755102,49,5.0,0.9183673469387755,296.9255232332769,0.9183673469387755,9
10,683.2857142857143,1000.0,35.0,683.2857142857143,1000.0,357.7042730228079,112009,683.2857142857143,14,683.2857142857143,14,35.0,0.5,357.7042730228079,0.5,10
11,248.78048780487805,1000.0,12.0,248.78048780487805,1000.0,356.53320662198115,122105,248.78048780487805,41,248.78048780487805,41,12.0,0.8536585365853658,356.53320662198115,0.8536585365853658,11
12,380.0416666666667,1000.0,11.0,380.0416666666667,1000.0,434.086250950072,133220,380.0416666666667,24,380.0416666666667,24,11.0,0.7083333333333334,434.086250950072,0.7083333333333334,12
13,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,143743,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,13
14,846.6363636363636,1000.0,63.0,846.6363636363636,1000.0,278.43173562824813,154634,846.6363636363636,11,846.6363636363636,11,63.0,0.36363636363636365,278.43173562824813,0.36363636363636365,14
15,396.1363636363636,1000.0,22.0,396.1363636363636,1000.0,402.36712040967865,164091,396.1363636363636,22,396.1363636363636,22,22.0,0.7727272727272727,402.36712040967865,0.7727272727272727,15
16,928.8888888888889,1000.0,360.0,928.8888888888889,1000.0,201.13259553750686,175103,928.8888888888889,9,928.8888888888889,9,360.0,0.1111111111111111,201.13259553750686,0.1111111111111111,16
17,596.5625,1000.0,97.0,596.5625,1000.0,409.21036288655984,185159,596.5625,16,596.5625,16,97.0,0.5625,409.21036288655984,0.5625,17
18,948.8,1000.0,744.0,948.8,1000.0,102.39999999999999,195417,948.8,10,948.8,10,744.0,0.2,102.39999999999999,0.2,18
19,782.8333333333334,1000.0,120.0,782.8333333333334,1000.0,324.9196909323218,205803,782.8333333333334,12,782.8333333333334,12,120.0,0.3333333333333333,324.9196909323218,0.3333333333333333,19
20,949.8888888888889,1000.0,549.0,949.8888888888889,1000.0,141.73562591783684,217848,949.8888888888889,9,949.8888888888889,9,549.0,0.1111111111111111,141.73562591783684,0.1111111111111111,20
21,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,227658,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,21
22,740.75,1000.0,264.0,740.75,1000.0,300.252983609933,237099,740.75,12,740.75,12,264.0,0.5,300.252983609933,0.5,22
23,833.5,1000.0,203.0,833.5,1000.0,291.8606688130485,247683,833.5,10,833.5,10,203.0,0.3,291.8606688130485,0.3,23
24,905.7272727272727,1000.0,326.0,905.7272727272727,1000.0,193.5787793164656,256841,905.7272727272727,11,905.7272727272727,11,326.0,0.36363636363636365,193.5787793164656,0.36363636363636365,24
25,822.9166666666666,1000.0,192.0,822.9166666666666,1000.0,299.43709921933333,267145,822.9166666666666,12,822.9166666666666,12,192.0,0.3333333333333333,299.43709921933333,0.3333333333333333,25
26,966.1111111111111,1000.0,695.0,966.1111111111111,1000.0,95.8522525608431,278812,966.1111111111111,9,966.1111111111111,9,695.0,0.1111111111111111,95.8522525608431,0.1111111111111111,26
27,985.5555555555555,1000.0,870.0,985.5555555555555,1000.0,40.85505846855608,289222,985.5555555555555,9,985.5555555555555,9,870.0,0.1111111111111111,40.85505846855608,0.1111111111111111,27
28,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,299062,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,28
29,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,309142,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,29
30,901.5,1000.0,324.0,901.5,1000.0,213.40911414464003,319559,901.5,10,901.5,10,324.0,0.2,213.40911414464003,0.2,30
31,895.5555555555555,1000.0,60.0,895.5555555555555,1000.0,295.4134996957132,329644,895.5555555555555,9,895.5555555555555,9,60.0,0.1111111111111111,295.4134996957132,0.1111111111111111,31
32,767.4545454545455,1000.0,47.0,767.4545454545455,1000.0,381.63889730199713,338905,767.4545454545455,11,767.4545454545455,11,47.0,0.2727272727272727,381.63889730199713,0.2727272727272727,32
33,724.3846153846154,1000.0,60.0,724.3846153846154,1000.0,380.627728174947,348917,724.3846153846154,13,724.3846153846154,13,60.0,0.38461538461538464,380.627728174947,0.38461538461538464,33
34,940.5,1000.0,468.0,940.5,1000.0,158.61604584656624,359351,940.5,10,940.5,10,468.0,0.2,158.61604584656624,0.2,34
35,890.8888888888889,1000.0,18.0,890.8888888888889,1000.0,308.6128262778621,369870,890.8888888888889,9,890.8888888888889,9,18.0,0.1111111111111111,308.6128262778621,0.1111111111111111,35
36,921.4444444444445,1000.0,293.0,921.4444444444445,1000.0,222.1886641328396,379131,921.4444444444445,9,921.4444444444445,9,293.0,0.1111111111111111,222.1886641328396,0.1111111111111111,36
37,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,388168,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,37
