MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn
0,140.0,7.0,0,140.0,194,42.48453608247423,1.0,18.316582201591736,7.0,194,1.0,42.48453608247423,42.48453608247423,23048,42.48453608247423,18.316582201591736
1,138.0,3.0,1,138.0,126,65.73809523809524,1.0,26.760305408911744,3.0,126,1.0,65.73809523809524,65.73809523809524,30366,65.73809523809524,26.760305408911744
2,139.0,4.0,2,139.0,141,58.57446808510638,1.0,21.50580790515057,4.0,141,1.0,58.57446808510638,58.57446808510638,38011,58.57446808510638,21.50580790515057
3,170.0,20.0,3,170.0,119,68.73109243697479,1.0,22.070817067645507,20.0,119,1.0,68.73109243697479,68.73109243697479,45331,68.73109243697479,22.070817067645507
4,220.0,7.0,4,220.0,108,78.5925925925926,1.0,35.74965346556653,7.0,108,1.0,78.5925925925926,78.5925925925926,52825,78.5925925925926,35.74965346556653
5,1000.0,31.0,5,1000.0,17,534.0588235294117,0.5882352941176471,403.9102216186509,31.0,17,0.5882352941176471,534.0588235294117,534.0588235294117,60381,534.0588235294117,403.9102216186509
6,1000.0,1000.0,6,1000.0,8,1000.0,0.0,0.0,1000.0,8,0.0,1000.0,1000.0,70869,1000.0,0.0
7,1000.0,7.0,7,1000.0,32,272.3125,0.84375,353.1578469236525,7.0,32,0.84375,272.3125,272.3125,80475,272.3125,353.1578469236525
8,1000.0,5.0,8,1000.0,30,277.8666666666667,0.8,378.75345836338215,5.0,30,0.8,277.8666666666667,277.8666666666667,90475,277.8666666666667,378.75345836338215
9,1000.0,22.0,9,1000.0,20,507.05,0.8,351.8406564057087,22.0,20,0.8,507.05,507.05,100979,507.05,351.8406564057087
10,1000.0,15.0,10,1000.0,43,209.4418604651163,0.8837209302325582,295.79921712599685,15.0,43,0.8837209302325582,209.4418604651163,209.4418604651163,112144,209.4418604651163,295.79921712599685
11,1000.0,20.0,11,1000.0,14,743.9285714285714,0.5714285714285714,338.56408219877966,20.0,14,0.5714285714285714,743.9285714285714,743.9285714285714,122763,743.9285714285714,338.56408219877966
12,1000.0,22.0,12,1000.0,27,371.44444444444446,0.7777777777777778,388.69919182884223,22.0,27,0.7777777777777778,371.44444444444446,371.44444444444446,132763,371.44444444444446,388.69919182884223
13,1000.0,467.0,13,1000.0,11,837.6363636363636,0.36363636363636365,220.37252457322546,467.0,11,0.36363636363636365,837.6363636363636,837.6363636363636,143586,837.6363636363636,220.37252457322546
14,1000.0,22.0,14,1000.0,29,301.7241379310345,0.8275862068965517,341.27195107388195,22.0,29,0.8275862068965517,301.7241379310345,301.7241379310345,153188,301.7241379310345,341.27195107388195
15,1000.0,3.0,15,1000.0,29,309.9655172413793,0.8275862068965517,354.8503796170826,3.0,29,0.8275862068965517,309.9655172413793,309.9655172413793,163188,309.9655172413793,354.8503796170826
16,1000.0,3.0,16,1000.0,71,121.49295774647888,0.9436619718309859,241.60629557832868,3.0,71,0.9436619718309859,121.49295774647888,121.49295774647888,172756,121.49295774647888,241.60629557832868
17,1000.0,3.0,17,1000.0,72,118.30555555555556,0.9444444444444444,226.13298931828743,3.0,72,0.9444444444444444,118.30555555555556,118.30555555555556,183579,118.30555555555556,226.13298931828743
18,1000.0,6.0,18,1000.0,35,251.0,0.8857142857142857,334.73392418456785,6.0,35,0.8857142857142857,251.0,251.0,195068,251.0,334.73392418456785
19,1000.0,7.0,19,1000.0,33,258.1212121212121,0.8484848484848485,326.8679427143144,7.0,33,0.8484848484848485,258.1212121212121,258.1212121212121,203770,258.1212121212121,326.8679427143144
20,1000.0,3.0,20,1000.0,57,155.12280701754386,0.9473684210526315,237.35236003287028,3.0,57,0.9473684210526315,155.12280701754386,155.12280701754386,213584,155.12280701754386,237.35236003287028
21,1000.0,3.0,21,1000.0,58,151.72413793103448,0.8793103448275862,321.4455921733959,3.0,58,0.8793103448275862,151.72413793103448,151.72413793103448,224511,151.72413793103448,321.4455921733959
22,1000.0,30.0,22,1000.0,16,504.9375,0.5625,442.5445554898964,30.0,16,0.5625,504.9375,504.9375,233802,504.9375,442.5445554898964
23,1000.0,41.0,23,1000.0,12,738.8333333333334,0.4166666666666667,347.4629076926373,41.0,12,0.4166666666666667,738.8333333333334,738.8333333333334,243802,738.8333333333334,347.4629076926373
24,1000.0,8.0,24,1000.0,22,497.8636363636364,0.7272727272727273,386.8440248818338,8.0,22,0.7272727272727273,497.8636363636364,497.8636363636364,253286,497.8636363636364,386.8440248818338
25,1000.0,479.0,25,1000.0,10,943.7,0.2,155.4053087896292,479.0,10,0.2,943.7,943.7,263906,943.7,155.4053087896292
26,1000.0,60.0,26,1000.0,18,524.0555555555555,0.6666666666666666,385.69712818655785,60.0,18,0.6666666666666666,524.0555555555555,524.0555555555555,274102,524.0555555555555,385.69712818655785
27,1000.0,21.0,27,1000.0,25,367.36,0.76,375.42763670246757,21.0,25,0.76,367.36,367.36,285882,367.36,375.42763670246757
28,1000.0,33.0,28,1000.0,22,454.45454545454544,0.7727272727272727,366.9717263412595,33.0,22,0.7727272727272727,454.45454545454544,454.45454545454544,296577,454.45454545454544,366.9717263412595
