MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/TerminationRate
195,0,1.0,195,41.702564102564104,7.0,16.185899009900915,41.702564102564104,16.185899009900915,99.0,41.702564102564104,23031,7.0,99.0,0,41.702564102564104,1.0
84,1,1.0,84,98.91666666666667,13.0,39.41422523396408,98.91666666666667,39.41422523396408,215.0,98.91666666666667,30318,13.0,215.0,1,98.91666666666667,1.0
115,2,1.0,115,72.02608695652174,6.0,24.383694077436335,72.02608695652174,24.383694077436335,141.0,72.02608695652174,37917,6.0,141.0,2,72.02608695652174,1.0
114,3,1.0,114,71.80701754385964,38.0,24.667926897506906,71.80701754385964,24.667926897506906,205.0,71.80701754385964,45477,38.0,205.0,3,71.80701754385964,1.0
78,4,1.0,78,112.52564102564102,3.0,60.5097416100688,112.52564102564102,60.5097416100688,356.0,112.52564102564102,52883,3.0,356.0,4,112.52564102564102,1.0
65,5,0.9538461538461539,65,138.6153846153846,37.0,213.35392713716817,138.6153846153846,213.35392713716817,1000.0,138.6153846153846,61488,37.0,1000.0,5,138.6153846153846,0.9538461538461539
27,6,0.8148148148148148,27,306.14814814814815,12.0,392.3653535223501,306.14814814814815,392.3653535223501,1000.0,306.14814814814815,71502,12.0,1000.0,6,306.14814814814815,0.8148148148148148
48,7,0.8958333333333334,48,174.16666666666666,39.0,285.09803382150653,174.16666666666666,285.09803382150653,1000.0,174.16666666666666,80908,39.0,1000.0,7,174.16666666666666,0.8958333333333334
39,8,0.8717948717948718,39,228.76923076923077,12.0,319.7136909509187,228.76923076923077,319.7136909509187,1000.0,228.76923076923077,92017,12.0,1000.0,8,228.76923076923077,0.8717948717948718
8,9,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,102702,1000.0,1000.0,9,1000.0,0.0
34,10,0.8235294117647058,34,289.05882352941177,7.0,377.7604237029906,289.05882352941177,377.7604237029906,1000.0,289.05882352941177,113340,7.0,1000.0,10,289.05882352941177,0.8235294117647058
19,11,0.631578947368421,19,422.05263157894734,49.0,441.9164571778853,422.05263157894734,441.9164571778853,1000.0,422.05263157894734,123241,49.0,1000.0,11,422.05263157894734,0.631578947368421
9,12,0.1111111111111111,9,973.2222222222222,759.0,75.73899300709243,973.2222222222222,75.73899300709243,1000.0,973.2222222222222,133426,759.0,1000.0,12,973.2222222222222,0.1111111111111111
