MetaTest/Average/Iteration,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn
0,0,42.75,23050,17.471107100963387,192,42.75,192,42.75,17.471107100963387,1.0,1.0,159.0,42.75,5.0,159.0,5.0
1,1,129.2,30352,52.32419649131307,65,129.2,65,129.2,52.32419649131307,1.0,1.0,320.0,129.2,12.0,320.0,12.0
2,2,99.48837209302326,38149,49.541559764116705,86,99.48837209302326,86,99.48837209302326,49.541559764116705,1.0,1.0,337.0,99.48837209302326,40.0,337.0,40.0
3,3,85.04081632653062,45764,32.63337416721863,98,85.04081632653062,98,85.04081632653062,32.63337416721863,1.0,1.0,211.0,85.04081632653062,13.0,211.0,13.0
4,4,63.10526315789474,53434,25.313452442422943,133,63.10526315789474,133,63.10526315789474,25.313452442422943,1.0,1.0,184.0,63.10526315789474,26.0,184.0,26.0
5,5,144.24242424242425,61143,226.6584709262107,66,144.24242424242425,66,144.24242424242425,226.6584709262107,0.9545454545454546,0.9545454545454546,1000.0,144.24242424242425,5.0,1000.0,5.0
6,6,211.88095238095238,71240,250.51586798719694,42,211.88095238095238,42,211.88095238095238,250.51586798719694,0.9523809523809523,0.9523809523809523,1000.0,211.88095238095238,9.0,1000.0,9.0
7,7,387.96,80326,321.35506593175097,25,387.96,25,387.96,321.35506593175097,0.84,0.84,1000.0,387.96,17.0,1000.0,17.0
8,8,156.75862068965517,91029,251.07502041015465,58,156.75862068965517,58,156.75862068965517,251.07502041015465,0.9310344827586207,0.9310344827586207,1000.0,156.75862068965517,10.0,1000.0,10.0
9,9,385.4166666666667,100564,326.76761832973733,24,385.4166666666667,24,385.4166666666667,326.76761832973733,0.7916666666666666,0.7916666666666666,1000.0,385.4166666666667,81.0,1000.0,81.0
