TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate
23069,9.0,52.37820512820513,20.264704363308173,0,1.0,125.0,156,20.264704363308173,125.0,52.37820512820513,9.0,0,52.37820512820513,156,52.37820512820513,1.0
30226,3.0,86.97938144329896,40.14226745876209,1,1.0,261.0,97,40.14226745876209,261.0,86.97938144329896,3.0,1,86.97938144329896,97,86.97938144329896,1.0
37804,7.0,82.49019607843137,31.169915453419474,2,1.0,210.0,102,31.169915453419474,210.0,82.49019607843137,7.0,2,82.49019607843137,102,82.49019607843137,1.0
45116,15.0,70.65546218487395,26.43699883003603,3,1.0,223.0,119,26.43699883003603,223.0,70.65546218487395,15.0,3,70.65546218487395,119,70.65546218487395,1.0
52484,52.0,148.13114754098362,156.24554817630056,4,1.0,855.0,61,156.24554817630056,855.0,148.13114754098362,52.0,4,148.13114754098362,61,148.13114754098362,1.0
61310,54.0,386.3333333333333,388.92578963250804,5,0.7619047619047619,1000.0,21,388.92578963250804,1000.0,386.3333333333333,54.0,5,386.3333333333333,21,386.3333333333333,0.7619047619047619
71502,33.0,334.0,406.2322816648951,6,0.7407407407407407,1000.0,27,406.2322816648951,1000.0,334.0,33.0,6,334.0,27,334.0,0.7407407407407407
81982,13.0,274.3,337.33535737205693,7,0.8333333333333334,1000.0,30,337.33535737205693,1000.0,274.3,13.0,7,274.3,30,274.3,0.8333333333333334
92945,103.0,553.5882352941177,360.7082997501589,8,0.6470588235294118,1000.0,17,360.7082997501589,1000.0,553.5882352941177,103.0,8,553.5882352941177,17,553.5882352941177,0.6470588235294118
101966,57.0,303.6666666666667,363.4729599194314,9,0.8148148148148148,1000.0,27,363.4729599194314,1000.0,303.6666666666667,57.0,9,303.6666666666667,27,303.6666666666667,0.8148148148148148
112121,173.0,695.0,331.61523889391253,10,0.5,1000.0,12,331.61523889391253,1000.0,695.0,173.0,10,695.0,12,695.0,0.5
122061,44.0,340.88461538461536,330.6773150465428,11,0.8461538461538461,1000.0,26,330.6773150465428,1000.0,340.88461538461536,44.0,11,340.88461538461536,26,340.88461538461536,0.8461538461538461
133865,26.0,768.6666666666666,352.1082535559515,12,0.3333333333333333,1000.0,12,352.1082535559515,1000.0,768.6666666666666,26.0,12,768.6666666666666,12,768.6666666666666,0.3333333333333333
143581,302.0,909.7777777777778,217.80203946488135,13,0.2222222222222222,1000.0,9,217.80203946488135,1000.0,909.7777777777778,302.0,13,909.7777777777778,9,909.7777777777778,0.2222222222222222
153523,429.0,889.8888888888889,209.05100092478466,14,0.2222222222222222,1000.0,9,209.05100092478466,1000.0,889.8888888888889,429.0,14,889.8888888888889,9,889.8888888888889,0.2222222222222222
163515,135.0,786.9166666666666,308.86255258429907,15,0.4166666666666667,1000.0,12,308.86255258429907,1000.0,786.9166666666666,135.0,15,786.9166666666666,12,786.9166666666666,0.4166666666666667
