MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageReturn
124,522.4789224271696,57528,1.0,0,0,124,522.4789224271696,62.13172355612885,254.8966722114138,254.8966722114138,62.13172355612885,254.8966722114138,118.4086260355416,118.4086260355416,1.0,254.8966722114138
82,907.7173040226642,65579,0.8292682926829268,1,1,82,907.7173040226642,18.436892872312253,367.1249934285141,367.1249934285141,18.436892872312253,367.1249934285141,232.81380847468813,232.81380847468813,0.8292682926829268,367.1249934285141
190,581.8368765372138,75957,1.0,2,2,190,581.8368765372138,-61.51360862856193,148.5362902056338,148.5362902056338,-61.51360862856193,148.5362902056338,143.72116429558562,143.72116429558562,1.0,148.5362902056338
255,257.840309884803,84208,1.0,3,3,255,257.840309884803,34.970105552041105,137.12346128313752,137.12346128313752,34.970105552041105,137.12346128313752,40.318117507600554,40.318117507600554,1.0,137.12346128313752
656,68.50317953065566,91738,1.0,4,4,656,68.50317953065566,-8.441322104229778,19.81261856607924,19.81261856607924,-8.441322104229778,19.81261856607924,9.34296391061378,9.34296391061378,1.0,19.81261856607924
172,486.19306062032865,98938,1.0,5,5,172,486.19306062032865,-130.81730275673556,27.165646522410018,27.165646522410018,-130.81730275673556,27.165646522410018,88.73546478032965,88.73546478032965,1.0,27.165646522410018
173,373.2740967696927,106577,1.0,6,6,173,373.2740967696927,-63.55244070788605,147.54012683539912,147.54012683539915,-63.55244070788605,147.54012683539912,94.37596602372747,94.37596602372747,1.0,147.54012683539915
187,525.8729133561026,114530,1.0,7,7,187,525.8729133561026,-132.50115023844631,155.28072427787225,155.28072427787222,-132.50115023844631,155.28072427787225,91.35316441332512,91.35316441332512,1.0,155.28072427787222
179,391.9925882185208,122764,1.0,8,8,179,391.9925882185208,-115.67612320775325,90.58492665967586,90.58492665967586,-115.67612320775325,90.58492665967586,108.33716362845712,108.33716362845712,1.0,90.58492665967586
152,470.39309791584327,131504,1.0,9,9,152,470.39309791584327,-47.635772998445425,135.33699213372893,135.33699213372893,-47.635772998445425,135.33699213372893,103.52306711339708,103.52306711339708,1.0,135.33699213372893
