MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn
26.745884662664988,26.745884662664988,1.0,-61.624472314718794,363.323824569408,89.42635902687626,26.745884662664988,26.745884662664988,0,0,89.42635902687626,363.323824569408,57447,186,186,1.0,-61.624472314718794
424.50819408117314,424.50819408117314,0.7058823529411765,32.38047868758426,907.0277504104789,259.057954431118,424.50819408117314,424.50819408117314,1,1,259.057954431118,907.0277504104789,65084,68,68,0.7058823529411765,32.38047868758426
299.4000976403786,299.4000976403786,0.9923076923076923,2.7305523425836657,971.5931831925101,188.71810314639168,299.4000976403786,299.4000976403786,2,2,188.71810314639168,971.5931831925101,75839,130,130,0.9923076923076923,2.7305523425836657
153.57051129042054,153.57051129042054,1.0,-1.0674638702986963,704.8508293774398,92.15913474804144,153.57051129042054,153.57051129042054,3,3,92.15913474804144,704.8508293774398,84040,200,200,1.0,-1.0674638702986963
136.97806080901213,136.97806080901213,1.0,4.270797257124586,430.43708299223766,58.48459706570493,136.97806080901213,136.97806080901213,4,4,58.48459706570493,430.43708299223766,92334,302,302,1.0,4.270797257124586
156.20605499352718,156.2060549935272,1.0,-13.84669248504949,392.1689541826455,75.20248479605962,156.20605499352718,156.2060549935272,5,5,75.20248479605962,392.1689541826455,99853,203,203,1.0,-13.84669248504949
189.56805766869485,189.56805766869485,1.0,5.988500893619673,503.60575327705396,100.83976486913565,189.56805766869485,189.56805766869485,6,6,100.83976486913565,503.60575327705396,107388,185,185,1.0,5.988500893619673
155.4556816608606,155.4556816608606,0.9947089947089947,-45.817686117460426,945.3440197417708,105.47073808824798,155.4556816608606,155.4556816608606,7,7,105.47073808824798,945.3440197417708,114834,189,189,0.9947089947089947,-45.817686117460426
106.74317167063674,106.74317167063674,1.0,-28.146472894423237,309.7001853200359,66.40821157496003,106.74317167063674,106.74317167063674,8,8,66.40821157496003,309.7001853200359,122726,251,251,1.0,-28.146472894423237
133.60272704400316,133.60272704400316,1.0,4.765739463439509,402.82062413111385,72.06522903079616,133.60272704400316,133.60272704400316,9,9,72.06522903079616,402.82062413111385,130370,245,245,1.0,4.765739463439509
128.44909168654772,128.44909168654772,1.0,-103.31942218505898,361.58658923441413,85.17742362960283,128.44909168654772,128.44909168654772,10,10,85.17742362960283,361.58658923441413,137867,254,254,1.0,-103.31942218505898
141.9411687570308,141.94116875703074,1.0,-71.86062156621956,478.4941923870653,97.6382816786036,141.9411687570308,141.94116875703074,11,11,97.6382816786036,478.4941923870653,145364,199,199,1.0,-71.86062156621956
162.0631428111814,162.06314281118142,1.0,-45.460770019673426,435.151314678648,102.23170336524757,162.0631428111814,162.06314281118142,12,12,102.23170336524757,435.151314678648,153212,178,178,1.0,-45.460770019673426
173.91978782826564,173.91978782826567,1.0,-133.96452899254015,633.2079532419132,110.06995862648962,173.91978782826564,173.91978782826567,13,13,110.06995862648962,633.2079532419132,160955,164,164,1.0,-133.96452899254015
198.62132962337915,198.62132962337915,1.0,-104.5292678787785,487.642123565892,112.34641821868574,198.62132962337915,198.62132962337915,14,14,112.34641821868574,487.642123565892,169182,159,159,1.0,-104.5292678787785
144.55143827869804,144.551438278698,1.0,-153.81826926056078,410.3565322353398,103.79510724781731,144.55143827869804,144.551438278698,15,15,103.79510724781731,410.3565322353398,177197,211,211,1.0,-153.81826926056078
174.5408949987918,174.54089499879183,1.0,-74.42027376413485,765.991666976721,126.27405923326307,174.5408949987918,174.54089499879183,16,16,126.27405923326307,765.991666976721,184998,171,171,1.0,-74.42027376413485
174.1840912201724,174.1840912201724,1.0,-20.987074582187635,384.42790683223956,94.47901768733827,174.1840912201724,174.1840912201724,17,17,94.47901768733827,384.42790683223956,193004,225,225,1.0,-20.987074582187635
203.30598016790648,203.30598016790648,1.0,-28.035769321764,468.4774253760214,115.99790018506756,203.30598016790648,203.30598016790648,18,18,115.99790018506756,468.4774253760214,201083,158,158,1.0,-28.035769321764
252.59434226738517,252.59434226738517,1.0,-4.863773294516908,646.7702721698364,131.49303972980874,252.59434226738517,252.59434226738517,19,19,131.49303972980874,646.7702721698364,209074,157,157,1.0,-4.863773294516908
