MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
0,211.39361390552742,123.84821155025428,1.0,129,211.39361390552736,57221,54.81801245996452,211.39361390552742,123.84821155025428,0,505.3916997202309,505.3916997202309,1.0,54.81801245996452,129,211.39361390552736
1,251.64564701039177,104.7105712320618,1.0,149,251.64564701039177,65605,-15.929843873415349,251.64564701039177,104.7105712320618,1,696.505620696271,696.505620696271,1.0,-15.929843873415349,149,251.64564701039177
2,247.85804912099857,145.1547276345591,1.0,127,247.85804912099857,73324,12.577481223968613,247.85804912099857,145.1547276345591,2,664.4194783954327,664.4194783954327,1.0,12.577481223968613,127,247.85804912099857
3,157.5170720806329,113.36686342394455,1.0,184,157.5170720806329,81524,-15.490026542536395,157.5170720806329,113.36686342394455,3,398.6194169332417,398.6194169332417,1.0,-15.490026542536395,184,157.5170720806329
4,140.99794097920886,49.30690747764133,1.0,264,140.99794097920886,89647,-1.0168236097166685,140.99794097920886,49.30690747764133,4,361.3296195076622,361.3296195076622,1.0,-1.0168236097166685,264,140.99794097920886
5,142.07810232958246,89.10133858423646,1.0,198,142.07810232958246,97039,-93.36417626136273,142.07810232958246,89.10133858423646,5,347.32296917983115,347.32296917983115,1.0,-93.36417626136273,198,142.07810232958246
6,133.55563510521324,87.28022403068739,1.0,198,133.55563510521324,104489,-52.126187987871496,133.55563510521324,87.28022403068739,6,387.0795109362328,387.0795109362328,1.0,-52.126187987871496,198,133.55563510521324
7,161.97833238239502,63.10341410409971,1.0,233,161.97833238239502,112913,-2.0344436425196797,161.97833238239502,63.10341410409971,7,356.80831945838645,356.80831945838645,1.0,-2.0344436425196797,233,161.97833238239502
8,109.16925658646988,95.53935599882259,1.0,310,109.16925658646988,120603,-27.13141572685588,109.16925658646988,95.53935599882259,8,416.85437028168695,416.85437028168695,1.0,-27.13141572685588,310,109.16925658646988
9,177.45585626669794,57.822430736723994,1.0,243,177.45585626669794,128332,-117.12697963575825,177.45585626669794,57.822430736723994,9,355.19031429969294,355.19031429969294,1.0,-117.12697963575825,243,177.45585626669794
10,148.16366014537996,104.8613682347254,1.0,202,148.16366014537996,135914,-36.229423720414715,148.16366014537996,104.8613682347254,10,474.9897609814711,474.9897609814711,1.0,-36.229423720414715,202,148.16366014537996
11,186.8209501775921,92.8906385004058,1.0,186,186.82095017759212,143499,0.9953293276211406,186.8209501775921,92.8906385004058,11,463.2306943105081,463.2306943105081,1.0,0.9953293276211406,186,186.82095017759212
12,127.8738699729253,130.42836715925947,1.0,134,127.87386997292528,151219,-92.55805449533034,127.8738699729253,130.42836715925947,12,526.1356677304248,526.1356677304248,1.0,-92.55805449533034,134,127.87386997292528
13,83.01199961056356,136.6599297672317,0.9915966386554622,119,83.01199961056356,159606,-209.68290218384772,83.01199961056356,136.6599297672317,13,495.83208360511253,495.83208360511253,0.9915966386554622,-209.68290218384772,119,83.01199961056356
14,164.53507194863332,147.7955824978215,1.0,120,164.53507194863332,168101,-131.2865480755912,164.53507194863332,147.7955824978215,14,733.0368430170408,733.0368430170408,1.0,-131.2865480755912,120,164.53507194863332
15,227.50603214841615,155.14972056449278,1.0,129,227.50603214841615,176508,-100.96968688084024,227.50603214841615,155.14972056449278,15,645.333576711727,645.333576711727,1.0,-100.96968688084024,129,227.50603214841615
16,210.54705173388794,114.98725568118078,1.0,131,210.54705173388794,185140,-64.130953137785,210.54705173388794,114.98725568118078,16,494.63248914431614,494.63248914431614,1.0,-64.130953137785,131,210.54705173388794
17,209.3566100975514,128.3923802654326,1.0,128,209.35661009755142,193174,-110.06884491374102,209.3566100975514,128.3923802654326,17,530.0545734691464,530.0545734691464,1.0,-110.06884491374102,128,209.35661009755142
18,245.55582798273667,142.270622436854,1.0,124,245.55582798273664,201748,-166.57411875592382,245.55582798273667,142.270622436854,18,547.0249595721409,547.0249595721409,1.0,-166.57411875592382,124,245.55582798273664
19,243.711565157464,133.384333134331,1.0,135,243.711565157464,210451,-121.29103143603425,243.711565157464,133.384333134331,19,727.9677065875157,727.9677065875157,1.0,-121.29103143603425,135,243.711565157464
20,238.8919819947485,117.2437167122717,1.0,177,238.8919819947485,219539,4.793068812437552,238.8919819947485,117.2437167122717,20,563.037627927319,563.037627927319,1.0,4.793068812437552,177,238.8919819947485
21,257.8703166444611,102.75367924979446,1.0,156,257.8703166444611,227652,-17.659713189493864,257.8703166444611,102.75367924979446,21,533.1906976639667,533.1906976639667,1.0,-17.659713189493864,156,257.8703166444611
22,228.04874069630105,118.34640576963331,1.0,167,228.04874069630102,235983,-154.32259644757738,228.04874069630105,118.34640576963331,22,480.3874692580333,480.3874692580333,1.0,-154.32259644757738,167,228.04874069630102
23,245.6866404149859,94.06788031248958,1.0,169,245.6866404149859,243930,-45.623966183635254,245.6866404149859,94.06788031248958,23,593.5097109805143,593.5097109805143,1.0,-45.623966183635254,169,245.6866404149859
24,286.61875090588296,139.48791653583075,1.0,149,286.61875090588296,251684,-15.070549823138489,286.61875090588296,139.48791653583075,24,917.6982178847728,917.6982178847728,1.0,-15.070549823138489,149,286.61875090588296
25,243.97430272536988,141.30720591242644,1.0,143,243.97430272536985,259562,-64.95803253125122,243.97430272536988,141.30720591242644,25,659.3158209117057,659.3158209117057,1.0,-64.95803253125122,143,243.97430272536985
26,218.3605450948885,146.98086419145795,1.0,160,218.3605450948885,267855,-102.2167110996095,218.3605450948885,146.98086419145795,26,632.8755669554198,632.8755669554198,1.0,-102.2167110996095,160,218.3605450948885
27,265.6850253329697,139.09489893953378,1.0,158,265.6850253329698,276007,-98.6272077995604,265.6850253329697,139.09489893953378,27,720.1915802599796,720.1915802599796,1.0,-98.6272077995604,158,265.6850253329698
28,274.48657118477394,162.50896895614454,1.0,142,274.4865711847739,283994,-20.19959707757298,274.48657118477394,162.50896895614454,28,1056.7685017522676,1056.7685017522676,1.0,-20.19959707757298,142,274.4865711847739
29,301.1503720496024,156.88373050731803,1.0,145,301.1503720496024,292516,-60.12807806861503,301.1503720496024,156.88373050731803,29,756.9649644347368,756.9649644347368,1.0,-60.12807806861503,145,301.1503720496024
30,296.6084526146735,140.7309758632595,1.0,150,296.6084526146736,300558,0.4413367251582898,296.6084526146735,140.7309758632595,30,686.4997785527328,686.4997785527328,1.0,0.4413367251582898,150,296.6084526146736
31,267.6758180744603,120.70160399808049,1.0,161,267.6758180744603,309022,8.135356880150965,267.6758180744603,120.70160399808049,31,749.871293016665,749.871293016665,1.0,8.135356880150965,161,267.6758180744603
32,266.74128536030616,147.07914656444348,1.0,155,266.7412853603062,316985,-5.986790697939962,266.74128536030616,147.07914656444348,32,983.054168573803,983.054168573803,1.0,-5.986790697939962,155,266.7412853603062
33,281.4505311851526,123.80537805425446,1.0,165,281.4505311851526,325231,8.23075552922285,281.4505311851526,123.80537805425446,33,843.93455660335,843.93455660335,1.0,8.23075552922285,165,281.4505311851526
34,258.8880530679786,117.51833313345361,1.0,172,258.88805306797866,333139,10.645287012733744,258.8880530679786,117.51833313345361,34,569.6923363112841,569.6923363112841,1.0,10.645287012733744,172,258.88805306797866
35,272.31003580472884,120.07422567798316,1.0,159,272.31003580472884,340971,11.051212313028762,272.31003580472884,120.07422567798316,35,668.5857229826677,668.5857229826677,1.0,11.051212313028762,159,272.31003580472884
36,267.4587691662441,131.87824068072874,1.0,169,267.4587691662441,348944,-5.55561298012367,267.4587691662441,131.87824068072874,36,873.2993353707978,873.2993353707978,1.0,-5.55561298012367,169,267.4587691662441
