MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MaxReturn
117,0,144.92860259154227,144.92860259154227,697.0071656722132,252.8822847084857,252.8822847084857,11.984314690447402,1.0,11.984314690447402,0,252.8822847084857,117,252.8822847084857,1.0,57252,697.0071656722132
131,1,118.21976615245511,118.21976615245511,744.0003878341862,252.88670346027118,252.88670346027124,12.872847103388183,1.0,12.872847103388183,1,252.88670346027124,131,252.88670346027118,1.0,65392,744.0003878341862
131,2,109.46915601729249,109.46915601729249,673.2445634227836,286.93336570552566,286.93336570552566,-19.309074091746023,1.0,-19.309074091746023,2,286.93336570552566,131,286.93336570552566,1.0,73787,673.2445634227836
136,3,115.92488158417378,115.92488158417378,609.0868111823779,290.46130335985936,290.46130335985936,2.4506919445248325,1.0,2.4506919445248325,3,290.46130335985936,136,290.46130335985936,1.0,82210,609.0868111823779
146,4,156.3829788292477,156.3829788292477,588.4416303786062,252.03911520951328,252.03911520951328,-7.4320507356743795,1.0,-7.4320507356743795,4,252.03911520951328,146,252.03911520951328,1.0,90665,588.4416303786062
137,5,81.15117804167939,81.15117804167939,469.857346873856,337.06539654443907,337.065396544439,20.018713713626195,1.0,20.018713713626195,5,337.065396544439,137,337.06539654443907,1.0,98842,469.857346873856
151,6,155.8730715654691,155.8730715654691,741.9396427485792,275.8357064179145,275.8357064179145,-21.10623240450074,1.0,-21.10623240450074,6,275.8357064179145,151,275.8357064179145,1.0,106767,741.9396427485792
167,7,118.5189995090112,118.5189995090112,576.4712901857988,289.37939144522915,289.3793914452292,2.2461399819749337,1.0,2.2461399819749337,7,289.3793914452292,167,289.37939144522915,1.0,114547,576.4712901857988
146,8,115.78198039887647,115.78198039887647,600.3018910203118,287.8498290488626,287.8498290488626,-16.218556369452187,1.0,-16.218556369452187,8,287.8498290488626,146,287.8498290488626,1.0,122825,600.3018910203118
177,9,132.5487232630388,132.5487232630388,565.1665826209936,228.92821794719615,228.92821794719615,-4.362440806691634,1.0,-4.362440806691634,9,228.92821794719615,177,228.92821794719615,1.0,130414,565.1665826209936
178,10,113.61852381290763,113.61852381290763,503.7256885769055,223.63560619338602,223.63560619338602,-70.00957306885293,1.0,-70.00957306885293,10,223.63560619338602,178,223.63560619338602,1.0,138581,503.7256885769055
163,11,157.67144538852804,157.67144538852804,529.7492984811212,191.62122658400722,191.62122658400722,-65.2284309674415,1.0,-65.2284309674415,11,191.62122658400722,163,191.62122658400722,1.0,146348,529.7492984811212
142,12,181.0686185419415,181.0686185419415,775.6790288055338,280.2081787852703,280.2081787852703,-235.19783540227976,1.0,-235.19783540227976,12,280.2081787852703,142,280.2081787852703,1.0,154427,775.6790288055338
153,13,162.07354767201184,162.07354767201184,716.1121143788251,270.4562851000635,270.4562851000635,-36.868221580463064,1.0,-36.868221580463064,13,270.4562851000635,153,270.4562851000635,1.0,163216,716.1121143788251
142,14,141.74975038423437,141.74975038423437,658.6850201724149,356.5095726635927,356.5095726635926,-9.673073677716907,1.0,-9.673073677716907,14,356.5095726635926,142,356.5095726635927,1.0,171302,658.6850201724149
152,15,139.4847846478929,139.4847846478929,531.9884543748349,294.53061362394044,294.5306136239405,-36.3951309812726,1.0,-36.3951309812726,15,294.5306136239405,152,294.53061362394044,1.0,179206,531.9884543748349
122,16,132.3778866777906,132.3778866777906,668.3320030940479,386.21923791273497,386.21923791273497,-32.01549726313419,1.0,-32.01549726313419,16,386.21923791273497,122,386.21923791273497,1.0,187558,668.3320030940479
136,17,115.75993322409957,115.75993322409957,615.9180145171035,382.55801351845537,382.55801351845537,4.460031320527549,1.0,4.460031320527549,17,382.55801351845537,136,382.55801351845537,1.0,195791,615.9180145171035
162,18,111.87008154823606,111.87008154823606,627.9751745507251,343.92109398492096,343.921093984921,-22.307759080512465,1.0,-22.307759080512465,18,343.921093984921,162,343.92109398492096,1.0,203957,627.9751745507251
148,19,129.8350405106288,129.8350405106288,659.7485649438814,344.5294887717296,344.5294887717296,-66.23803779900734,1.0,-66.23803779900734,19,344.5294887717296,148,344.5294887717296,1.0,211930,659.7485649438814
179,20,63.546847340527925,63.546847340527925,444.17895802455234,268.14007863540456,268.14007863540456,-43.04580047051989,1.0,-43.04580047051989,20,268.14007863540456,179,268.14007863540456,1.0,220142,444.17895802455234
173,21,76.1778748016398,76.1778748016398,470.5427044476796,263.2477598157092,263.2477598157092,-1.4091666619925642,1.0,-1.4091666619925642,21,263.2477598157092,173,263.2477598157092,1.0,228296,470.5427044476796
164,22,94.6465159370631,94.6465159370631,593.6050622973958,290.9220466727017,290.9220466727017,0.5564170323037985,1.0,0.5564170323037985,22,290.9220466727017,164,290.9220466727017,1.0,236466,593.6050622973958
169,23,84.58606194597947,84.58606194597947,468.8008162667797,248.28967970987867,248.28967970987867,0.09956140910589883,1.0,0.09956140910589883,23,248.28967970987867,169,248.28967970987867,1.0,244412,468.8008162667797
192,24,83.9936230130158,83.9936230130158,427.7345178565008,208.86365535791114,208.86365535791114,59.28683245284173,1.0,59.28683245284173,24,208.86365535791114,192,208.86365535791114,1.0,252428,427.7345178565008
163,25,77.57993883028708,77.57993883028708,475.6389327445762,268.2344753381143,268.2344753381143,59.041266806655294,1.0,59.041266806655294,25,268.2344753381143,163,268.2344753381143,1.0,260084,475.6389327445762
161,26,78.59636670855001,78.59636670855001,487.4356201717799,270.7070491004634,270.70704910046334,24.793186206475376,1.0,24.793186206475376,26,270.70704910046334,161,270.7070491004634,1.0,267721,487.4356201717799
