MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
125,117.97473436400259,125,117.97473436400259,44.74071528030432,174.103400262402,458.0299813891735,174.103400262402,458.0299813891735,174.10340026240203,0,1.0,44.74071528030432,57218,1.0,0,174.10340026240203
34,346.1252515650087,34,346.1252515650087,24.431323396142194,735.0683915854692,1035.8573890729506,735.0683915854692,1035.8573890729506,735.0683915854693,1,0.2647058823529412,24.431323396142194,65655,0.2647058823529412,1,735.0683915854693
248,96.12711745450586,248,96.12711745450586,-16.12177368435602,89.77804964708244,477.4444608491325,89.77804964708244,477.4444608491325,89.77804964708243,2,1.0,-16.12177368435602,76494,1.0,2,89.77804964708243
382,35.41782217834174,382,35.41782217834174,-30.03632939837229,10.698851149330803,366.5793197749792,10.698851149330803,366.5793197749792,10.698851149330803,3,1.0,-30.03632939837229,84374,1.0,3,10.698851149330803
227,90.58811012022157,227,90.58811012022157,-50.43480978066746,88.00439850289213,363.63915459693783,88.00439850289213,363.63915459693783,88.0043985028921,4,1.0,-50.43480978066746,91925,1.0,4,88.0043985028921
187,94.07267662527083,187,94.07267662527083,-38.46510294020154,149.77083153680942,498.45561846711234,149.77083153680942,498.45561846711234,149.77083153680942,5,1.0,-38.46510294020154,99508,1.0,5,149.77083153680942
154,134.16389488285628,154,134.16389488285628,-41.27088876385769,165.04043164950917,718.8041411700308,165.04043164950917,718.8041411700308,165.04043164950915,6,1.0,-41.27088876385769,107730,1.0,6,165.04043164950915
135,130.21405276980144,135,130.21405276980144,-61.58022554300757,191.626641073634,706.6766611342947,191.626641073634,706.6766611342947,191.626641073634,7,1.0,-61.58022554300757,116990,1.0,7,191.626641073634
140,117.16055725749608,140,117.16055725749608,-18.386997198744023,220.93757255471925,652.4305516716134,220.93757255471925,652.4305516716134,220.93757255471928,8,1.0,-18.386997198744023,126013,1.0,8,220.93757255471928
161,109.14484230905843,161,109.14484230905843,-80.64489241202875,148.79892220569948,512.5547596433638,148.79892220569948,512.5547596433638,148.79892220569948,9,1.0,-80.64489241202875,134065,1.0,9,148.79892220569948
140,128.1136912957028,140,128.1136912957028,-70.76946901213626,208.2613003437104,595.220142558063,208.2613003437104,595.220142558063,208.2613003437104,10,1.0,-70.76946901213626,142267,1.0,10,208.2613003437104
139,118.50710745787246,139,118.50710745787246,-52.57066309348731,220.6712547270052,589.1202494054548,220.6712547270052,589.1202494054548,220.67125472700525,11,1.0,-52.57066309348731,150438,1.0,11,220.67125472700525
136,114.14730485136272,136,114.14730485136272,-68.28558893947341,202.00693455148988,626.1549548900975,202.00693455148988,626.1549548900975,202.00693455148988,12,1.0,-68.28558893947341,158739,1.0,12,202.00693455148988
141,116.23424253000533,141,116.23424253000533,-74.11170336462287,225.4212328120934,610.6046193954276,225.4212328120934,610.6046193954276,225.4212328120934,13,1.0,-74.11170336462287,167015,1.0,13,225.4212328120934
146,112.45899577497067,146,112.45899577497067,-87.86541884804723,197.1270872913076,538.5821322907783,197.1270872913076,538.5821322907783,197.1270872913076,14,1.0,-87.86541884804723,175524,1.0,14,197.1270872913076
149,99.3156196834473,149,99.3156196834473,-138.98076144132386,174.6726221792396,405.1263822710386,174.6726221792396,405.1263822710386,174.67262217923957,15,1.0,-138.98076144132386,183243,1.0,15,174.67262217923957
150,88.54402652043498,150,88.54402652043498,-41.20971289216541,171.69065064009018,504.12206577722156,171.69065064009018,504.12206577722156,171.69065064009018,16,1.0,-41.20971289216541,191361,1.0,16,171.69065064009018
148,118.66375460113763,148,118.66375460113763,21.758359313378865,222.2310522559309,966.0267836945185,222.2310522559309,966.0267836945185,222.2310522559309,17,0.9932432432432432,21.758359313378865,199307,0.9932432432432432,17,222.2310522559309
148,120.85838783603523,148,120.85838783603523,0.23516570616486554,250.93381987632864,746.2752186419958,250.93381987632864,746.2752186419958,250.93381987632864,18,1.0,0.23516570616486554,207667,1.0,18,250.93381987632864
138,108.75964376187969,138,108.75964376187969,-6.5403532531741675,242.45170317031307,555.963006329925,242.45170317031307,555.963006329925,242.45170317031307,19,1.0,-6.5403532531741675,216400,1.0,19,242.45170317031307
138,126.13320661014573,138,126.13320661014573,-74.59046991970025,228.58044229720963,601.1158846490753,228.58044229720963,601.1158846490753,228.58044229720963,20,1.0,-74.59046991970025,225189,1.0,20,228.58044229720963
134,142.8531408113707,134,142.8531408113707,-29.810329493043525,251.69137980994182,942.3843454081964,251.69137980994182,942.3843454081964,251.69137980994182,21,1.0,-29.810329493043525,233051,1.0,21,251.69137980994182
141,108.36574528637378,141,108.36574528637378,-50.405185837841934,240.23397923828864,611.1738015474685,240.23397923828864,611.1738015474685,240.23397923828858,22,1.0,-50.405185837841934,241968,1.0,22,240.23397923828858
162,131.81731661205694,162,131.81731661205694,-26.56402066423696,253.96130563906354,844.8751044713689,253.96130563906354,844.8751044713689,253.96130563906357,23,1.0,-26.56402066423696,250016,1.0,23,253.96130563906357
185,119.70963120572873,185,119.70963120572873,-44.50521015192179,208.68914960112448,607.1943631270383,208.68914960112448,607.1943631270383,208.68914960112448,24,1.0,-44.50521015192179,257729,1.0,24,208.68914960112448
168,106.44005527420445,168,106.44005527420445,3.704572455688508,229.16202859198842,544.5929744678845,229.16202859198842,544.5929744678845,229.16202859198842,25,1.0,3.704572455688508,265425,1.0,25,229.16202859198842
312,109.80710940156933,312,109.80710940156933,-59.8873418241144,94.00407242096665,621.0266482255923,94.00407242096665,621.0266482255923,94.00407242096662,26,1.0,-59.8873418241144,273393,1.0,26,94.00407242096662
141,171.20348750780565,141,171.20348750780565,-8.335678966722957,263.5818916945936,851.9493050969446,263.5818916945936,851.9493050969446,263.5818916945936,27,0.9929078014184397,-8.335678966722957,281068,0.9929078014184397,27,263.5818916945936
188,162.8521355187029,188,162.8521355187029,-54.41161172639553,195.020513370857,879.6417389360993,195.020513370857,879.6417389360993,195.020513370857,28,1.0,-54.41161172639553,289236,1.0,28,195.020513370857
170,167.3517729133859,170,167.3517729133859,-3.372211467845877,212.0148956714248,938.3837198283961,212.0148956714248,938.3837198283961,212.01489567142485,29,1.0,-3.372211467845877,297292,1.0,29,212.01489567142485
151,139.22611505096282,151,139.22611505096282,-5.533667072842089,227.88111222159657,800.2319191282138,227.88111222159657,800.2319191282138,227.88111222159654,30,1.0,-5.533667072842089,305771,1.0,30,227.88111222159654
202,120.18264991714581,202,120.18264991714581,1.2377939617303815,191.227791353895,565.4509987578473,191.227791353895,565.4509987578473,191.22779135389496,31,1.0,1.2377939617303815,314524,1.0,31,191.22779135389496
153,119.67637587902017,153,119.67637587902017,12.290761715981764,261.0484727197881,735.380859620393,261.0484727197881,735.380859620393,261.0484727197881,32,1.0,12.290761715981764,322627,1.0,32,261.0484727197881
160,164.21568703964968,160,164.21568703964968,-77.81953168547285,189.80733946750948,843.8185429449213,189.80733946750948,843.8185429449213,189.8073394675095,33,1.0,-77.81953168547285,330650,1.0,33,189.8073394675095
154,201.06050007303145,154,201.06050007303145,10.918399728244399,255.0447211496088,956.889115130412,255.0447211496088,956.889115130412,255.0447211496088,34,0.9935064935064936,10.918399728244399,338522,0.9935064935064936,34,255.0447211496088
132,168.75901935524962,132,168.75901935524962,14.19284817056036,291.25478684985325,774.1577655621549,291.25478684985325,774.1577655621549,291.2547868498532,35,1.0,14.19284817056036,346279,1.0,35,291.2547868498532
